T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.10403832991101986,160.0,30.42,30.58,0.16,30.64,0.22,0.4843976752059773,0.5014863063529664
0.10403832991101986,170.0,22.52,22.49,-0.03,22.57,0.05,0.4766913634698936,0.4793651360142159
0.10403832991101986,180.0,15.76,15.51,-0.25,15.6,-0.16,0.46704431032222515,0.46009190718035514
0.10403832991101986,190.0,10.2,9.98,-0.22,10.06,-0.14,0.4511040456532264,0.4454804967188361
0.10403832991101986,195.0,7.87,7.82,-0.05,7.88,0.01,0.439873778754659,0.4404879095268204
0.10403832991101986,205.0,4.45,4.61,0.16,4.65,0.2,0.4258031740112426,0.43550897127392607
0.4681724845995893,160.0,41.19,40.96,-0.23,41.11,-0.08,0.48234011205009125,0.4803790403873944
0.4681724845995893,170.0,33.94,34.34,0.4,34.5,0.56,0.45417040815994986,0.4667039141885656
0.4681724845995893,180.0,28.25,28.42,0.17,28.57,0.32,0.44855010767347203,0.4552204010943578
0.4681724845995893,190.0,23.25,23.26,0.01,23.39,0.14,0.44332377678231516,0.44611947129307283
0.4681724845995893,195.0,20.9,20.97,0.07,21.09,0.19,0.43880161793234446,0.4424973641307103
0.4681724845995893,220.0,12.33,12.27,-0.06,12.31,-0.02,0.4336555336727241,0.4333231267407255
1.3853524982888432,170.0,53.4,53.49,0.09,53.68,0.28,0.4752835132857139,0.47906134534686173
1.3853524982888432,180.0,48.54,48.57,0.03,48.75,0.21,0.47095605884753106,0.4736388164712061
1.3853524982888432,190.0,44.0,44.04,0.04,44.21,0.21,0.46635847133950575,0.46895602242921286
1.3853524982888432,195.0,41.95,41.93,-0.02,42.09,0.14,0.4652143834085194,0.46687518103075293
1.3853524982888432,210.0,36.15,36.13,-0.02,36.27,0.12,0.4602171809795649,0.4615957601276309
1.3853524982888432,220.0,32.88,32.71,-0.17,32.83,-0.05,0.45939052459074187,0.45881382973128804
