T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.10403832991101986,135.0,52.45,52.31,-0.14,52.36,-0.09,0.5509228508073765,0.5246867740416051
0.10403832991101986,150.0,38.25,38.02,-0.23,38.13,-0.12,0.5066343782675179,0.4924530978973553
0.10403832991101986,170.0,21.175,21.02,-0.15,21.24,0.06,0.45244948040595373,0.4557679951588883
0.10403832991101986,175.0,17.549999999999997,17.43,-0.12,17.51,-0.04,0.44287203650993057,0.44101027726692843
0.10403832991101986,185.0,11.45,11.32,-0.13,11.46,0.01,0.43003640593445797,0.4303832144965867
0.10403832991101986,195.0,6.875,6.81,-0.06,6.91,0.04,0.41860625444394395,0.4202922451434713
0.10403832991101986,205.0,3.775,3.83,0.06,3.93,0.15,0.40880477982856567,0.4165014163063094
0.4681724845995893,135.0,58.349999999999994,58.44,0.09,58.85,0.5,0.4880682880237589,0.5076364677039262
0.4681724845995893,150.0,46.525,46.64,0.12,46.77,0.24,0.4677566573953445,0.4749258718854605
0.4681724845995893,170.0,32.875,32.98,0.11,33.21,0.34,0.44673006953885713,0.45429704572246693
0.4681724845995893,175.0,29.9,30.0,0.1,30.21,0.31,0.4425131857701272,0.4491911528315206
0.4681724845995893,185.0,24.5,24.59,0.09,24.84,0.34,0.43505317046414665,0.4420181739161297
0.4681724845995893,220.0,11.399999999999999,11.4,0.0,11.45,0.05,0.42235662317633244,0.42333125091143514
0.4681724845995893,240.0,7.1,7.19,0.09,7.37,0.27,0.4195062217117296,0.42600355327643763
1.3853524982888432,170.0,52.225,52.37,0.14,52.48,0.26,0.46661791701004735,0.4700226040318614
1.3853524982888432,175.0,49.725,49.89,0.17,49.53,-0.2,0.4641779889053922,0.4615856658061241
1.3853524982888432,185.0,45.15,45.24,0.09,45.08,-0.07,0.4613101681632616,0.4604774876702911
1.3853524982888432,195.0,40.95,40.97,0.02,41.12,0.17,0.45873220131698966,0.460712071772564
1.3853524982888432,210.0,35.3,35.25,-0.05,35.58,0.28,0.4552192761564881,0.45845069561654667
1.3853524982888432,220.0,31.95,31.87,-0.08,31.84,-0.11,0.45323855938956764,0.45194642711098787
1.3853524982888432,240.0,26.299999999999997,26.03,-0.27,25.8,-0.5,0.4517402975139442,0.445978642735482
