Maturity,Strike,Market_Price,Model_Analytical,Model_MC_Params,Diff_Ana,Diff_MC
0.10130047912388775,400.0,38.0,37.410670448986735,37.600140089157236,-0.5893295510132646,-0.39985991084276407
0.10130047912388775,420.0,27.0,26.539508719074547,26.741561872429855,-0.4604912809254529,-0.2584381275701446
0.10130047912388775,440.0,18.2,18.09074998310203,18.268085133260882,-0.10925001689797043,0.06808513326088317
0.10130047912388775,460.0,12.0,11.86533687876367,11.989953731189956,-0.13466312123632918,-0.010046268810043557
0.15879534565366188,400.0,44.0,44.41592491309413,44.65052891595019,0.4159249130941305,0.6505289159501899
0.15879534565366188,460.0,17.74,18.400862045273385,18.56398855902387,0.6608620452733867,0.8239885590238707
0.31211498973305957,400.0,60.01,59.223327286754056,59.51509914233745,-0.7866727132459417,-0.4949008576625502
0.31211498973305957,420.0,49.25,49.16332131341514,49.451604376958386,-0.086678686584861,0.20160437695838596
0.31211498973305957,440.0,40.5,40.45513207130708,40.71228682403711,-0.04486792869292344,0.21228682403710764
0.31211498973305957,460.0,33.23,33.02530844727073,33.22746323891789,-0.20469155272926542,-0.002536761082104988
0.405201916495551,400.0,66.0,66.75943043351845,67.06281144165939,0.7594304335184461,1.0628114416593917
0.405201916495551,440.0,47.44,48.257064622884826,48.51530450627715,0.8170646228848284,1.0753045062771491
0.8295687885010267,400.0,93.67,94.5064198063331,94.83163181455214,0.8364198063330974,1.1616318145521376
0.8295687885010267,420.0,86.31,85.44872267858474,85.74346527602037,-0.8612773214152583,-0.566534723979629
0.8295687885010267,440.0,77.5,77.16076536884202,77.41177237208584,-0.3392346311579786,-0.08822762791416494
0.8295687885010267,460.0,72.55,69.60233320435259,69.7982438019929,-2.9476667956474074,-2.751756198007101
0.9062286105407256,440.0,80.0,81.61896722790544,81.87581490867899,1.6189672279054435,1.87581490867899
0.9062286105407256,460.0,73.12,74.09838721796316,74.30046625202414,0.9783872179631601,1.1804662520241322
